Id,Year,Month,Day,Hour,Minute,Second,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10255,2017,5,25,9,55,51,TANZANIA,TANZANIA: MWANZA,-3.043,32.888,10,4.4,,1,18,,
10256,2017,6,22,12,31,49,GUATEMALA,"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA",13.717,-90.972,38,6.8,6,,4,,
10257,2017,6,24,2,37,48,MOZAMBIQUE,MOZAMBIQUE,-19.45,34.488,27,5.6,,,4,,2
10258,2017,7,6,8,3,55,PHILIPPINES,PHILIPPINES: LEYTE,11.127,124.629,11,6.5,9,4,448,5,735
10259,2017,7,17,23,35,14,RUSSIA,RUSSIA: BERING ISLAND,54.443,168.857,10,7.7,8,,,,
10260,2017,7,20,22,31,26,TURKEY,"TURKEY: BODRUM, DATCA; GREECE: KOS",36.929,27.414,7,6.6,7,2,500,,
10261,2017,8,8,13,19,54,CHINA,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,9,6.5,5,29,525,500,100
10262,2017,8,8,23,27,8,CHINA,CHINA:  XINGJIANG: BORTALA,44.302,82.832,20,6.3,,,32,,142
10263,2017,8,21,18,57,11,ITALY,ITALY:  ISCHIA ISLAND,40.783,13.939,3,4.2,,2,42,,
10264,2017,8,22,22,27,3,PHILIPPINES,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,17,5,,2,,,
