Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
10298,2018,1,14,9,18,0,5675,PERU,PERU: YAUCA,-15.982,-74.512,38,7.1,9,2,139,,259
10299,2018,1,23,6,35,38,,INDONESIA,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48,5.9,6,1,11,,
10300,2018,1,23,9,32,29,5673,USA,ALASKA:  KODIAK ISLAND,56.004,-149.166,14,7.9,9,,,,
10301,2018,1,31,7,7,29,,AFGHANISTAN,AFGHANISTAN; PAKISTAN:  BALUCHISTAN,36.526,70.851,194,6.2,6,2,15,,
10302,2018,2,6,15,50,32,,TAIWAN,TAIWAN:  HUALIEN,24.134,121.659,17,6.4,,17,291,,4
10303,2018,2,16,23,39,28,,MEXICO,MEXICO:  OAXACA,16.386,-97.979,22,7.2,,14,19,,
10304,2018,1,31,23,13,4,,ECUADOR,ECUADOR:  PASTAZA,-1.744,-77.672,21,5.2,4,1,,,
10305,2013,11,10,5,15,11,,TAJIKISTAN,TAJIKISTAN:  VAHDAT,38.41,68.89,23,5.2,5,,,,104
10306,2013,11,22,22,4,25.4,,CHINA,CHINA:  JILIN PROVINCE:  SONGYUAN,44.599,124.168,10,5.3,3,,,,
10307,2018,2,25,17,44,14,,PAPUA NEW GUINEA,"PAPUA NEW GUINEA: S HIGHLANDS, HELA;  INDONESIA",-6.07,142.754,25,7.5,8,145,300,290,
10308,2014,1,5,3,36,40.6,,COLOMBIA,COLOMBIA:  SIPI,4.557,-76.644,54,5.5,5,,,,
10309,2014,2,9,2,16,2,,USA,OKLAHOMA:  GUTHRIE,35.893,-97.292,5,4.1,5,,,,
10310,2014,4,11,7,7,23.1,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.586,155.049,61,7.1,,1,,,51
10311,2018,3,6,14,14,5,,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  S HIGHLANDS, HELA",-6.304,142.612,20,6.7,,25,,,1
10312,2018,3,4,19,57,29,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  S HIGHLANDS,-6.331,142.599,10,6,,11,,,
10313,2018,2,28,2,45,43,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  S HIGHLANDS,-6.17,142.468,16,6.1,,1,,,
10314,2014,7,15,9,8,40,,USA,OKLAHOMA:  HARRAH,35.524,-97.159,6,3.9,5,,,,
10315,2014,12,23,8,0,21.8,,ALGERIA,ALGERIA:  BLIDA,36.492,3.025,7,4.9,6,,,,
10316,2017,3,5,0,8,1,,PHILIPPINES,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11,5.7,,1,45,,13
10317,2017,6,21,4,40,,,NEPAL,NEPAL:  DHADING,27.64,85.17,,3.2,,1,1,,
10318,2017,8,2,7,15,0,,CHILE,CHILE:  SANTIAGO,-33.201,-70.614,99,5.4,,1,,,
10319,2017,10,31,11,50,37,,INDONESIA,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,6,6.1,5,1,,,
10320,2015,1,14,5,21,38.8,,CHINA,CHINA:  SICHUAN PROVINCE:  LESHAN,29.353,103.199,10,5.3,6,,11,,
10321,2015,2,28,20,10,24,,PERU,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.7,-71.99,12,4.8,3,,,,64
10322,2018,4,1,8,35,41,,IRAN,IRAN:  KERMANSHAH,34.403,45.748,10,5,,,54,,
10323,2018,4,3,9,41,35,,VENEZUELA,VENEZUELA:  MERIDA,8.346,-71.719,10,4.9,,,,,
10324,2018,4,8,16,32,52,,JAPAN,JAPAN:  SHIMANE PREFECTURE,35.259,132.553,10,5.7,,,8,,
10325,2018,4,7,5,48,1,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  HELA,-5.838,142.531,18,6.3,,4,,,
10326,2018,4,10,3,12,29,,ITALY,ITALY:  MUCCIA,43.066,13.052,10,4.7,,,,,
10327,2018,4,18,6,29,24,,INDONESIA,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10,4.5,2,3,21,,
10328,2018,4,24,0,34,18,,TURKEY,TURKEY:  ADIYAMAN,37.596,38.514,10,5.2,,,39,,
10329,2018,5,2,4,8,4,,IRAN,IRAN:  KOHGILUYEH AND BOYER-AHMAD: SISAKHT,30.705,51.49,8,5.3,,,133,,
10330,2018,5,3,11,17,,,SOUTH AFRICA,SOUTH AFRICA:  WEST RAND,-26.4,27.5,,2.1,,7,6,,
10331,2018,5,5,8,58,5,,POLAND,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.124,18.683,1,4.1,,5,2,,
10332,2018,5,4,22,32,37,5678,USA,HAWAIIAN ISLANDS: PUNA DISTRICT,19.313,-154.998,2,6.9,,,,,
10333,2018,5,9,10,42,31,,AFGHANISTAN,AFGHANISTAN: TAKHAR;  PAKISTAN,36.994,71.382,116,6.2,,,13,,
10334,2018,5,6,19,2,36,,EL SALVADOR,"EL SALVADOR:  LA UNION, SAN MIGUEL",13.104,-88.062,10,5.4,,,1,,11
10335,2015,3,1,10,24,41.4,,CHINA,"CHINA:   YUNNAN PROVINCE:  CANGYUAN, GENGMA",23.566,98.854,10,5.2,,,39,15,220
10336,2015,3,10,20,55,44.4,,COLOMBIA,"COLOMBIA:  ANTIOQUIA, SANTANDER",6.776,-72.988,155,6.2,6,,,,180
10337,2018,5,15,15,49,34,,COMOROS,COMOROS:  MAYOTTE,-12.776,45.581,17,5.9,,,3,,
10338,2015,7,3,6,43,21.5,,PHILIPPINES,PHILIPPINES:  MINDANAO,10.169,125.891,32,6.1,7,1,,,
